City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,pionerskiy,54.9508,20.2275,281.01,91,100,11.11,RU,1698248825
149,turaif,31.6725,38.6637,300.29,26,20,4.12,SA,1698248826
150,blackmans bay,-43.0167,147.3167,279.22,79,87,0.45,AU,1698248827
151,west island,-12.1568,96.8225,299.14,89,75,5.66,CC,1698248568
152,vila franca do campo,37.7167,-25.4333,294.38,78,98,7.39,PT,1698248828
153,bogotol,56.2078,89.5342,277.02,74,100,5.91,RU,1698248828
154,atafu village,-8.5421,-172.5159,301.1,79,51,5.63,TK,1698248829
155,caleta de carquin,-11.0925,-77.6267,293.03,85,100,1.83,PE,1698248830
156,katagum,12.2867,10.3527,309.19,12,99,3.36,NG,1698248830
157,galesong,-5.3166,119.3661,297.16,49,61,1.69,ID,1698248831
158,puerto ayora,-0.7393,-90.3518,299.13,96,90,2.68,EC,1698248832
159,hechuan,29.9947,106.2572,292.42,91,99,0.29,CN,1698248832
160,port elizabeth,-33.918,25.5701,292.77,74,0,4.63,ZA,1698248833
161,villa constitucion,-33.2278,-60.3297,297.58,37,15,2.45,AR,1698248834
162,grafton,42.207,-71.6856,293.69,61,0,3.6,US,1698248835
163,belomorsk,64.5232,34.7668,269.63,94,15,1.76,RU,1698248836
164,abepura,-2.6333,140.5833,298.6,78,20,2.57,ID,1698248558
165,elmali,36.7358,29.9177,290.56,46,99,2.19,TR,1698248837
166,altai,46.3722,96.2583,275.79,23,14,1.55,MN,1698248838
167,bonthe,7.5264,-12.505,299.64,79,99,2.45,SL,1698248838
168,gadzhiyevo,69.2551,33.3362,268.62,94,53,2.95,RU,1698248839
169,new norfolk,-42.7826,147.0587,279.87,84,86,4.31,AU,1698248840
170,eden isle,30.2285,-89.7987,302.04,74,6,1.79,US,1698248840
171,loch garman,52.3342,-6.4575,285.49,99,100,2.24,IE,1698248790
172,takoradi,4.8845,-1.7554,301.03,75,71,5.17,GH,1698248841
173,vilyuchinsk,52.9306,158.4028,278.11,80,60,3.37,RU,1698248842
174,avarua,-21.2078,-159.775,294.18,60,75,3.09,CK,1698248842
175,dunedin,-45.8742,170.5036,289.05,62,100,6.05,NZ,1698248843
176,cold lake,54.4502,-110.2017,265.12,86,100,3.6,CA,1698248844
177,iacu,-12.7672,-40.2117,311.4,25,20,1.87,BR,1698248644
178,alto araguaia,-17.3147,-53.2153,306.74,36,99,2.78,BR,1698248845
179,akureyri,65.6835,-18.0878,274.11,86,0,0.51,IS,1698248846
180,dryden,49.7833,-92.7503,276.31,81,100,2.06,CA,1698248570
181,shakawe,-18.3667,21.85,311.63,8,73,4.33,BW,1698248847
182,hithadhoo,-0.6,73.0833,300.73,82,44,6.67,MV,1698248848
183,pisco,-13.7,-76.2167,293.18,83,100,4.63,PE,1698248573
184,surbo,40.3994,18.1331,293.18,94,20,4.33,IT,1698248849
185,semera,11.501,41.201,304.15,41,97,6.73,ET,1698248849
186,guiuan,11.0333,125.7247,301.48,79,79,5.32,PH,1698248850
187,laurel bay,32.4502,-80.7848,297.54,66,75,4.12,US,1698248851
188,swift current,50.2834,-107.8014,259.6,85,0,4.12,CA,1698248851
189,ancud,-41.8697,-73.8203,284.57,74,39,3.5,CL,1698248852
190,sikonge,-5.6333,32.7667,296.49,63,99,1.91,TZ,1698248852
191,launceston,-41.45,147.1667,279.45,80,40,3.09,AU,1698248853
192,saint-philippe,-21.3585,55.7679,298.92,83,41,2.71,RE,1698248854
193,nova sintra,14.8667,-24.7167,297.26,73,24,7.51,CV,1698248854
194,chui,-33.6971,-53.4616,291.68,59,43,7.16,UY,1698248855
195,jiazi,22.8779,116.067,296.42,85,99,3.44,CN,1698248856
196,akrehamn,59.2667,5.1833,282.82,53,0,8.75,NO,1698248856
197,arraial do cabo,-22.9661,-42.0278,297.13,88,100,6.69,BR,1698248857
198,quesada,10.3238,-84.4271,300.15,93,99,1.3,CR,1698248858
199,drohobych,49.3499,23.5056,284.77,87,77,4.01,UA,1698248858
200,puerto deseado,-47.7503,-65.8938,291.51,30,40,8.2,AR,1698248859
201,khanty-mansiysk,61.0042,69.0019,270.21,63,40,0.0,RU,1698248859
202,midar,34.9403,-3.5331,297.8,40,24,2.57,MA,1698248860
203,mansilingan,10.6311,122.9789,298.58,87,63,2.09,PH,1698248861
204,namibe,-15.1961,12.1522,294.13,71,54,5.87,AO,1698248862
205,volterra,43.4003,10.86,291.72,65,42,2.11,IT,1698248862
206,akcaabat,41.0212,39.5715,292.08,88,0,1.54,TR,1698248863
207,zaio,34.9428,-2.7329,299.05,36,2,2.86,MA,1698248863
208,kirakira,-10.4544,161.9205,299.39,85,100,2.11,SB,1698248864
209,thunder bay,48.4001,-89.3168,279.14,65,75,2.57,CA,1698248687
210,taro,-8.3862,115.28,297.15,95,9,0.3,ID,1698248618
211,constantia,44.1833,28.65,296.53,51,62,3.62,RO,1698248865
212,sinop,41.7711,34.8709,291.44,52,100,2.65,TR,1698248866
213,tanabe,33.7333,135.3667,288.2,80,0,2.61,JP,1698248866
214,kundiawa,-6.0167,144.9667,287.9,81,64,1.03,PG,1698248867
215,jiwani,25.05,61.7417,300.35,78,51,4.14,PK,1698248868
216,texcoco de mora,19.5167,-98.8833,290.33,74,100,1.67,MX,1698248868
217,afaahiti,-17.75,-149.2833,298.08,76,100,2.79,PF,1698248869
218,diawara,15.022,-12.5437,313.78,13,56,3.72,SN,1698248869
219,jiangyou,31.7667,104.7167,292.4,80,100,0.48,CN,1698248870
220,ouani,-12.1322,44.4258,299.63,86,98,4.29,KM,1698248870
221,amungan,15.3652,119.9582,299.87,82,33,1.88,PH,1698248871
222,saipan,15.1355,145.701,300.54,94,0,3.6,MP,1698248871
223,abdulino,53.7,53.6667,271.2,69,8,4.16,RU,1698248872
224,tabou,4.423,-7.3528,298.8,82,93,1.63,CI,1698248872
225,yeed,4.55,43.0333,302.58,55,99,2.62,SO,1698248873
226,dali,25.7,100.1833,287.95,92,82,1.52,CN,1698248874
227,papao,-17.75,-149.55,298.97,72,100,2.72,PF,1698248875
228,featherstone,52.6448,-2.0932,284.72,77,20,1.79,GB,1698248876
229,kiunga,-6.1219,141.2906,293.09,83,96,1.4,PG,1698248877
230,atbara,17.7022,33.9864,309.17,17,4,3.85,SD,1698248877
231,yelizovo,53.1873,158.3805,278.04,100,40,2.0,RU,1698248878
232,abashiri,44.0213,144.2697,283.26,85,5,2.46,JP,1698248878
233,murang'a,-0.7167,37.15,295.38,60,79,2.83,KE,1698248879
234,mega,4.05,38.3,290.75,84,82,4.96,ET,1698248880
235,vernon,50.2581,-119.2691,277.38,62,99,4.47,CA,1698248766
236,jabor,5.921,169.6434,302.16,76,32,5.99,MH,1698248881
237,jiexiu,37.0244,111.9125,289.3,31,67,1.91,CN,1698248882
238,xingcheng,40.6167,120.7167,288.94,27,0,10.47,CN,1698248882
239,kailua-kona,19.6406,-155.9956,297.92,73,75,3.58,US,1698248883
240,colchani,-20.3,-66.9333,289.36,15,58,5.07,BO,1698248884
241,villa dolores,-31.9459,-65.1896,296.31,45,53,2.45,AR,1698248884
242,malango,-2.9627,119.9001,291.33,96,38,1.0,ID,1698248885
243,saynshand,44.8824,110.1163,279.4,27,58,1.0,MN,1698248886
244,coyhaique,-45.5752,-72.0662,286.12,38,75,4.12,CL,1698248886
245,lagoa,39.05,-27.9833,292.29,92,100,7.5,PT,1698248887
246,bayanhongor,46.7167,100.1167,271.55,27,5,0.74,MN,1698248887
